task_id,phase,task_name,depends_on,priority,status,required_gate,deliverable,verification
P00-01,P00,工作区审计,,P0,DONE,yes,storage/reports/baseline_workspace_audit.json,"Git状态、Python版本、文件数量、用户文件保护清单齐全"
P00-02,P00,测试基线,P00-01,P0,TODO,yes,storage/reports/baseline_pytest.txt,"python -m pytest -q通过且不少于58项"
P00-03,P00,真实与合成资产分类,P00-01,P0,TODO,yes,storage/exports/asset_truth_inventory.csv,"每个候选资产有truth_class且合成数据不进正式训练"
P00-04,P00,配置快照与哈希,P00-01,P0,TODO,yes,storage/manifests/config_snapshot.json,"所有config文件有SHA-256且无密钥"
P01-01,P01,迁移Copernicus STAC端点,P00-02;P00-04,P0,TODO,yes,config/sources.yml,"新端点实际HTTP 200且离线测试通过"
P01-02,P01,统一来源登记表和运行配置,P01-01,P0,TODO,yes,config/data_source_registry.csv;config/sources.yml,"source_id无孤儿且未实现源状态明确"
P01-03,P01,冻结太湖bbox和权威边界,P01-02,P0,TODO,yes,config/study_area.yml;storage/silver/geo/taihu_boundary.gpkg,"边界有来源、CRS、面积、版本和许可"
P01-04,P01,补齐P0/P1变量别名,P01-02,P0,TODO,yes,config/aliases.yml,"所有已规划源字段可映射或进入unmapped清单"
P01-05,P01,统一单位与转换,P01-04,P0,TODO,yes,config/units.yml,"Chl-a、藻密度、水位、降雨、辐射转换测试通过"
P01-06,P01,统一时区和预报时间契约,P01-04,P0,TODO,yes,config/variables.yml,"UTC、本地时间、起报和有效时间不混淆"
P01-07,P01,建立许可和再分发字段,P01-02,P0,TODO,yes,config/data_source_registry.csv,"每个来源有许可标签和授权证据策略"
P02-01,P02,创建凭证变量模板,P01-07,P0,TODO,yes,.env.example;.gitignore,"仅变量名且真实凭证被gitignore"
P02-02,P02,验证CDSE凭证,P02-01,P0,TODO,no,storage/manifests/cdse_auth_probe.json,"不回显secret；无账号则BLOCKED_AUTH"
P02-03,P02,验证CDS与EWDS凭证,P02-01,P0,TODO,no,storage/manifests/cds_auth_probe.json,"许可接受且API配置可用或BLOCKED_AUTH"
P02-04,P02,验证NASA Earthdata凭证,P02-01,P1,TODO,no,storage/manifests/earthdata_auth_probe.json,"Token脱敏且验证成功或BLOCKED_AUTH"
P02-05,P02,提交CMA学生科研申请,P01-07,P1,TODO,no,storage/authorization/cma/application_receipt.md,"申请范围和回执记录齐全"
P02-06,P02,提交水站浮标数据申请,P01-07,P0,TODO,no,storage/authorization/water_station/application_receipt.md,"字段、频率、时段和用途明确"
P02-07,P02,建立网页采集合规清单,P01-07,P0,TODO,yes,config/web_collection_policy.yml,"MEE/TBA/MWR条款、robots、频率和禁用条件完整"
P03-01,P03,统一原始资产manifest,P01-07;P02-01,P0,TODO,yes,pipeline/provenance.py,"URL脱敏、HTTP、checksum、许可和重试信息完整"
P03-02,P03,实现断点续传和幂等,P03-01,P0,TODO,yes,pipeline/sources/common.py,"中断恢复且相同资产不重复下载"
P03-03,P03,SQLite schema迁移机制,P03-01,P0,TODO,yes,pipeline/schema_migrations.py,"空库创建、旧库升级、重复迁移均通过"
P03-04,P03,建立核心标准表,P03-03,P0,TODO,yes,storage/databases/schema_reference.sqlite,"核心表、主键、唯一约束和索引齐全"
